 ,Label,Area,Mean,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,457541.jpg,156,97.968,46.527,50,6,17,13,0.906,17.464,50,11,166.759,13.000,1.295,0.772,0.912
2,457541.jpg,151,94.291,44.284,120,9,12,16,0.968,16.553,123,25,64.983,12.000,1.311,0.763,0.941
3,457541.jpg,360,124.972,79.255,169,13,16,32,0.720,32.062,176,13,93.576,16.000,1.976,0.506,0.930
4,457541.jpg,195,99.308,52.770,65,15,18,16,0.880,18.974,65,25,18.435,15.205,1.268,0.789,0.909
5,457541.jpg,266,111.669,69.012,30,18,18,24,0.702,24.331,35,18,99.462,16.151,1.615,0.619,0.851
6,457541.jpg,270,92.730,75.941,82,24,28,15,0.588,30.871,82,37,24.905,12.854,2.370,0.422,0.894
7,457541.jpg,107,109.075,52.527,23,25,13,20,0.487,23.022,23,26,124.380,8.050,3.148,0.318,0.762
8,457541.jpg,211,105.848,56.527,48,27,16,19,0.830,22.472,49,27,122.276,14.680,1.552,0.645,0.909
9,457541.jpg,108,99.519,47.456,17,28,11,15,0.603,17.000,20,28,118.072,11.000,1.374,0.728,0.794
10,457541.jpg,165,101.491,53.698,230,30,13,20,0.719,22.825,232,30,118.811,10.733,2.252,0.444,0.897
11,457541.jpg,157,107.803,51.698,17,41,13,18,0.738,20.125,21,41,116.565,12.075,1.669,0.599,0.882
12,457541.jpg,140,101.450,47.698,40,41,16,14,0.773,20.616,40,41,140.906,10.607,1.983,0.504,0.906
13,457541.jpg,167,118.072,46.284,77,44,15,14,0.980,16.155,77,54,21.801,14.000,1.092,0.916,0.938
14,457541.jpg,259,112.197,62.527,154,44,18,19,0.832,22.672,154,45,131.424,17.737,1.248,0.802,0.910
15,457541.jpg,153,111.608,47.698,100,47,15,14,0.845,18.601,100,59,36.254,11.926,1.615,0.619,0.922
16,457541.jpg,584,100.132,120.024,102,50,43,33,0.509,46.615,102,82,22.714,22.295,2.392,0.418,0.823
17,457541.jpg,187,108.257,70.426,3,55,25,19,0.474,31.401,3,55,142.765,11.094,3.145,0.318,0.804
18,457541.jpg,137,101.394,45.698,227,55,16,11,0.824,17.493,228,56,149.036,11.000,1.567,0.638,0.919
19,457541.jpg,433,100.365,85.497,36,57,30,20,0.744,30.806,36,66,13.134,19.593,1.593,0.628,0.918
20,457541.jpg,126,99.921,41.456,202,59,14,12,0.921,14.866,202,61,160.346,12.000,1.269,0.788,0.910
21,457541.jpg,184,95.995,52.870,189,69,18,14,0.827,19.209,190,81,38.660,13.859,1.417,0.706,0.918
22,457541.jpg,139,102.180,50.042,206,69,18,11,0.698,18.974,206,79,18.435,11.000,1.792,0.558,0.869
23,457541.jpg,135,105.778,43.698,242,70,12,16,0.888,16.763,246,70,107.354,12.000,1.398,0.715,0.906
24,457541.jpg,153,100.098,48.870,232,73,12,18,0.805,19.723,234,74,120.466,11.068,1.796,0.557,0.919
25,457541.jpg,197,107.675,55.113,157,74,19,15,0.815,21.095,157,75,148.570,14.467,1.553,0.644,0.910
26,457541.jpg,449,95.114,95.154,47,81,33,23,0.623,36.249,47,96,24.444,19.403,1.699,0.588,0.885
27,457541.jpg,196,116.286,53.698,137,83,19,14,0.854,19.313,137,86,158.749,13.728,1.442,0.694,0.916
28,457541.jpg,310,113.403,96.569,176,84,29,30,0.418,41.725,176,114,45.971,14.142,3.304,0.303,0.780
29,457541.jpg,162,120.796,50.870,103,85,19,12,0.787,19.416,103,95,11.889,11.963,1.687,0.593,0.893
30,457541.jpg,181,101.470,56.527,224,90,13,21,0.712,23.707,225,90,117.646,11.628,2.173,0.460,0.905
31,457541.jpg,279,100.835,64.527,26,97,17,21,0.842,24.698,27,97,121.759,17.000,1.468,0.681,0.938
32,457541.jpg,144,126.562,60.527,163,99,22,15,0.494,24.187,163,111,29.745,11.314,2.568,0.389,0.750
33,457541.jpg,242,98.306,80.669,67,102,17,32,0.467,34.540,70,134,67.891,11.180,3.257,0.307,0.825
34,457541.jpg,222,97.018,59.598,202,105,18,19,0.785,22.023,202,121,39.472,14.849,1.534,0.652,0.919
35,457541.jpg,254,106.850,63.698,115,109,17,21,0.787,24.187,118,109,119.745,16.760,1.494,0.669,0.919
36,457541.jpg,239,97.138,68.426,226,119,15,28,0.641,29.120,227,119,105.945,12.522,2.369,0.422,0.902
37,457541.jpg,133,111.368,44.284,85,121,13,15,0.852,17.493,87,136,59.036,11.180,1.597,0.626,0.911
38,457541.jpg,202,91.515,55.698,241,130,14,20,0.818,21.932,243,130,114.228,14.000,1.506,0.664,0.910
39,457541.jpg,179,90.168,51.113,94,131,14,18,0.861,18.439,100,131,102.529,14.000,1.359,0.736,0.918
40,457541.jpg,151,102.318,49.113,29,132,15,16,0.787,20.518,29,133,133.025,11.314,1.993,0.502,0.904
41,457541.jpg,132,114.098,42.627,161,135,12,14,0.913,15.652,164,135,116.565,12.000,1.313,0.761,0.926
42,457541.jpg,209,92.522,63.012,118,138,25,15,0.661,26.571,118,140,160.201,11.180,2.539,0.394,0.886
43,457541.jpg,132,98.348,45.698,9,148,17,12,0.794,18.028,9,157,19.440,11.443,1.719,0.582,0.880
44,457541.jpg,503,112.563,87.598,50,148,27,23,0.824,31.064,51,166,33.179,23.000,1.224,0.817,0.927
45,457541.jpg,396,90.710,85.154,139,149,31,21,0.686,32.016,139,161,165.530,20.263,1.643,0.609,0.885
46,457541.jpg,146,90.089,45.698,115,151,16,13,0.879,16.492,115,159,14.036,12.965,1.250,0.800,0.901
47,457541.jpg,232,94.267,60.426,190,159,21,18,0.798,22.472,190,169,20.854,15.200,1.518,0.659,0.903
48,457541.jpg,151,100.609,53.698,244,162,11,22,0.658,23.409,246,162,109.983,10.491,2.273,0.440,0.891
49,457541.jpg,336,94.738,81.598,17,168,33,16,0.634,34.205,17,184,15.255,15.495,2.055,0.487,0.904
50,457541.jpg,240,108.817,60.770,124,168,21,17,0.817,22.472,124,171,159.146,15.179,1.484,0.674,0.918
